Year,Make,Model,Display Name,Type,Wh Per Mile,Battery (kWh),Fuel Type 1,Fuel 1 Range (miles),Fuel Type 2,Fuel 2 Range (miles),Charger A Desc,"Hours to Charge (240V, Charger A)",Charger B Desc,"Hours to Charge (240V, Charger B)",Doe Id
2016,Audi,A3 e-tron,,Plug-in Hybrid,400,6,Premium Gasoline,0,Electricity,16,,2.5,,0,37129
2017,Audi,A3 e-tron,,Plug-in Hybrid,410,7,Premium Gasoline,0,Electricity,16,,2.5,,0,38228
2018,Audi,A3 e-tron,,Plug-in Hybrid,410,7,Premium Gasoline,0,Electricity,16,,2.5,,0,39589
2016,Audi,A3 e-tron ultra,,Plug-in Hybrid,380,6,Premium Gasoline,0,Electricity,17,,2.5,,0,37130
2021,Audi,A7 quattro,,Plug-in Hybrid,460,11,Premium Gasoline,0,Electricity,24,,2.4,,0,43213
2022,Audi,A7 TFSI e quattro,,Plug-in Hybrid,480,12,Premium Gasoline,0,Electricity,26,,3,,0,44158
2020,Audi,A8 L,,Plug-in Hybrid,630,11,Premium Gasoline,0,Electricity,17,,2.4,,0,42447
2021,Audi,A8 L,,Plug-in Hybrid,630,11,Premium Gasoline,0,Electricity,18,,2.4,,0,43033
2019,Audi,e-tron,,EV,455,93,Electricity,204,,,,10,,0,41393
2020,Audi,e-tron,,EV,434,96,Electricity,222,,,,10,,0,42506
2021,Audi,e-tron,,EV,434,96,Electricity,222,,,,10,,0,43498
2022,Audi,e-tron GT,,EV,412,98,Electricity,238,,,,10,,0,44776
2022,Audi,e-tron quattro,,EV,434,96,Electricity,222,,,,10,,0,44920
2022,Audi,e-tron S (20in wheels),,EV,458,95,Electricity,208,,,,10,,0,44777
2022,Audi,e-tron S (21in or 22in wheels),,EV,533,96,Electricity,181,,,,10,,0,44778
2022,Audi,e-tron S Sportback (20in wheels),,EV,449,95,Electricity,212,,,,10,,0,44779
2022,Audi,e-tron S Sportback (21/22in wheels),,EV,520,96,Electricity,185,,,,10,,0,44780
2020,Audi,e-tron Sportback,,EV,439,96,Electricity,218,,,,10,,0,42507
2020,Audi,e-tron Sportback,,EV,439,96,Electricity,218,,,,10,,0,42674
2021,Audi,e-tron Sportback,,EV,439,96,Electricity,218,,,,10,,0,43499
2022,Audi,e-tron Sportback quattro,,EV,439,96,Electricity,218,,,,10,,0,44921
2024,Audi,Q4 50 e-tron quattro,,,,82,,,,,,,,,
2024,Audi,Q4 55 e-tron quattro,,,,82.4,,,,,,,,,
2022,Audi,Q4 e-tron quattro,,EV,356,86,Electricity,241,,,,9,,0,44781
2022,Audi,Q4 e-tron Sportback quattro,,EV,356,86,Electricity,241,,,,9,,0,44782
2024,Audi,Q4 Sportback 50 e-tron quattro,,,,114,,,,,,,,,
2020,Audi,Q5,,Plug-in Hybrid,520,10,Premium Gasoline,0,Electricity,20,,2.4,,0,42448
2021,Audi,Q5,,Plug-in Hybrid,440,8,Premium Gasoline,0,Electricity,19,,2.4,,0,43424
2022,Audi,Q5 TFSI e quattro,,Plug-in Hybrid,560,13,Premium Gasoline,0,Electricity,23,,3,,0,44159
2024,Audi,Q8 e-tron quattro,,,,114,,,,,,,,,
2024,Audi,Q8 Sportback e-tron quattro,,,,114,,,,,,,,,
2022,Audi,RS e-tron GT,,EV,418,97,Electricity,232,,,,10,,0,44783
2012,Azure Dynamics,Transit Connect Electric Van,,EV,540,30,Electricity,56,,,,8,,0,31893
2012,Azure Dynamics,Transit Connect Electric Wagon,,EV,540,30,Electricity,56,,,,8,,0,31894
2020,Bentley,Bentayga,,Plug-in Hybrid,710,13,Premium Gasoline,0,Electricity,18,,3,,0,42560
2021,Bentley,Bentayga,,Plug-in Hybrid,730,13,Premium Gasoline,0,Electricity,18,,3,,0,43724
2022,Bentley,Flying Spur Hybrid,,Plug-in Hybrid,740,16,Premium Gasoline,0,Electricity,21,,3,,0,45287
2016,BMW,330e,,Plug-in Hybrid,470,7,Premium Gasoline,0,Electricity,14,,2,,0,37289
2017,BMW,330e,,Plug-in Hybrid,470,7,Premium Gasoline,0,Electricity,14,,2,,0,38081
2018,BMW,330e,,Plug-in Hybrid,470,7,Premium Gasoline,0,Electricity,14,,2,,0,39407
2021,BMW,330e,,Plug-in Hybrid,450,10,Premium Gasoline,0,Electricity,23,,3,,0,42569
2022,BMW,330e Sedan,,Plug-in Hybrid,450,10,Premium Gasoline,0,Electricity,23,,3,,0,45116
2021,BMW,330e xDrive,,Plug-in Hybrid,510,10,Premium Gasoline,0,Electricity,20,,3,,0,42570
2022,BMW,330e xDrive Sedan,,Plug-in Hybrid,510,10,Premium Gasoline,0,Electricity,20,,3,,0,45146
2018,BMW,530e,,Plug-in Hybrid,460,7,Premium Gasoline,0,Electricity,16,,2,,0,38754
2019,BMW,530e,,Plug-in Hybrid,460,7,Premium Gasoline,0,Electricity,16,,2,,0,40556
2020,BMW,530e,,Plug-in Hybrid,470,10,Premium Gasoline,0,Electricity,21,,3,,0,42108
2021,BMW,530e,,Plug-in Hybrid,490,10,Premium Gasoline,0,Electricity,21,,3,,0,43738
2022,BMW,530e Sedan,,Plug-in Hybrid,490,10,Premium Gasoline,0,Electricity,21,,3,,0,45117
2018,BMW,530e xDrive,,Plug-in Hybrid,490,7,Premium Gasoline,0,Electricity,15,,2,,0,38755
2019,BMW,530e xDrive,,Plug-in Hybrid,490,7,Premium Gasoline,0,Electricity,15,,2,,0,40557
2020,BMW,530e xDrive,,Plug-in Hybrid,520,10,Premium Gasoline,0,Electricity,19,,3,,0,42109
2021,BMW,530e xDrive,,Plug-in Hybrid,530,10,Premium Gasoline,0,Electricity,19,,3,,0,43739
2022,BMW,530e xDrive Sedan,,Plug-in Hybrid,530,10,Premium Gasoline,0,Electricity,19,,3,,0,45118
2017,BMW,740e xDrive,,Plug-in Hybrid,520,7,Premium Gasoline,0,Electricity,14,,3,,0,38045
2018,BMW,740e xDrive,,Plug-in Hybrid,520,7,Premium Gasoline,0,Electricity,14,,3,,0,38770
2019,BMW,740e xDrive,,Plug-in Hybrid,520,7,Premium Gasoline,0,Electricity,14,,3,,0,40558
2020,BMW,745e xDrive,,Plug-in Hybrid,610,10,Premium Gasoline,0,Electricity,16,,4,,0,41373
2021,BMW,745e xDrive,,Plug-in Hybrid,600,10,Premium Gasoline,0,Electricity,17,,4,,0,42647
2022,BMW,745e xDrive,,Plug-in Hybrid,600,10,Premium Gasoline,0,Electricity,17,,4,,0,45147
2011,BMW,Active E,,EV,330,31,Electricity,94,,,,5,,0,32276
2019,BMW,i3,,EV,297,46,Electricity,153,,,,5,,0,41054
2020,BMW,i3,,EV,297,46,Electricity,153,,,,7,,0,42512
2021,BMW,i3,,EV,297,46,Electricity,153,,,,7,,0,43819
2018,BMW,i3 (94Ah),,EV,286,33,Electricity,114,,,,5,,0,39854
2018,BMW,i3 (94Ah) with Range Extender,,Plug-in Hybrid,310,30,Premium Gasoline,0,Electricity,97,,5,,0,39834
2014,BMW,i3 BEV,,EV,270,22,Electricity,81,,,,4,,0,35207
2015,BMW,i3 BEV,,EV,270,22,Electricity,81,,,,4,,0,36016
2016,BMW,i3 BEV,,EV,270,22,Electricity,81,,,,4,,0,37216
2017,BMW,i3 BEV (60  Amp-hour battery),,EV,270,22,Electricity,81,,,,4,,0,38000
2017,BMW,i3 BEV (94 Amp-hour battery),,EV,290,33,Electricity,114,,,,5,,0,38001
2014,BMW,i3 REX,,Plug-in Hybrid,290,21,Premium Gasoline,0,Electricity,72,,4,,0,35279
2015,BMW,i3 REX,,Plug-in Hybrid,290,21,Premium Gasoline,0,Electricity,72,,4,,0,36030
2016,BMW,i3 REX,,Plug-in Hybrid,290,21,Premium Gasoline,0,Electricity,72,,4,,0,37222
2017,BMW,i3 REX  (94 Amp-hour battery),,Plug-in Hybrid,300,29,Premium Gasoline,0,Electricity,97,,5,,0,38229
2019,BMW,i3 with Range Extender,,Plug-in Hybrid,320,40,Premium Gasoline,0,Electricity,126,,7,,0,41211
2020,BMW,i3 with Range Extender,,Plug-in Hybrid,320,40,Premium Gasoline,0,Electricity,126,,7,,0,42572
2021,BMW,i3 with Range Extender,,Plug-in Hybrid,320,40,Premium Gasoline,0,Electricity,126,,7,,0,43745
2019,BMW,i3s,,EV,297,46,Electricity,153,,,,5,,0,41055
2020,BMW,i3s,,EV,297,46,Electricity,153,,,,7,,0,42513
2021,BMW,i3s,,EV,297,46,Electricity,153,,,,7,,0,43662
2018,BMW,i3s (94Ah),,EV,299,32,Electricity,107,,,,5,,0,39855
2018,BMW,i3s (94Ah) with Range Extender,,Plug-in Hybrid,310,30,Premium Gasoline,0,Electricity,97,,5,,0,39835
2019,BMW,i3s with Range Extender,,Plug-in Hybrid,320,40,Premium Gasoline,0,Electricity,126,,7,,0,41212
2020,BMW,i3s with Range Extender,,Plug-in Hybrid,320,40,Premium Gasoline,0,Electricity,126,,7,,0,42573
2021,BMW,i3s with Range Extender,,Plug-in Hybrid,320,40,Premium Gasoline,0,Electricity,126,,7,,0,43746
2024,BMW,i4 eDrive35 Gran Coupe (18 inch Wheels),,,,84,,,,,,,,,
2024,BMW,i4 eDrive35 Gran Coupe (19 inch Wheels),,,,84,,,,,,,,,
2024,BMW,i4 eDrive40 Gran Coupe (18 inch Wheels),,,,84,,,,,,,,,
2022,BMW,i4 eDrive40 Gran Coupe (18in Wheels),,EV,309,93,Electricity,301,,,,10,,0,45133
2024,BMW,i4 eDrive40 Gran Coupe (19 inch Wheels),,,,84,,,,,,,,,
2022,BMW,i4 eDrive40 Gran Coupe (19in Wheels),,EV,339,96,Electricity,282,,,,10,,0,45134
2024,BMW,i4 M50 Gran Coupe (19 inch wheels),,,,105,,,,,,,,,
2022,BMW,i4 M50 Gran Coupe (19in Wheels),,EV,352,95,Electricity,270,,,,10,,0,45131
2024,BMW,i4 M50 Gran Coupe (20 inch wheels),,,,105,,,,,,,,,
2022,BMW,i4 M50 Gran Coupe (20in Wheels),,EV,423,96,Electricity,227,,,,10,,0,45132
2024,BMW,i4 xDrive40 Gran Coupe (19 inch Wheels),,,,105,,,,,,,,,
2024,BMW,i5 eDrive40 Sedan (19 inch Wheels),,,,84,,,,,,,,,
2024,BMW,i5 eDrive40 Sedan (20 inch Wheels),,,,84,,,,,,,,,
2024,BMW,i7 eDrive50 Sedan (21 inch Wheels),,,,105,,,,,,,,,
2014,BMW,i8,,Plug-in Hybrid,430,6,Premium Gasoline,0,Electricity,15,,2,,0,35599
2015,BMW,i8,,Plug-in Hybrid,430,6,Premium Gasoline,0,Electricity,15,,2,,0,36031
2016,BMW,i8,,Plug-in Hybrid,430,6,Premium Gasoline,0,Electricity,15,,2,,0,37223
2017,BMW,i8,,Plug-in Hybrid,430,6,Premium Gasoline,0,Electricity,15,,2,,0,38230
2019,BMW,I8 Coupe,,Plug-in Hybrid,490,9,Premium Gasoline,0,Electricity,18,,3,,0,40079
2020,BMW,I8 Coupe,,Plug-in Hybrid,490,9,Premium Gasoline,0,Electricity,18,,3,,0,42369
2019,BMW,I8 Roadster,,Plug-in Hybrid,490,9,Premium Gasoline,0,Electricity,18,,3,,0,40080
2020,BMW,I8 Roadster,,Plug-in Hybrid,490,9,Premium Gasoline,0,Electricity,18,,3,,0,42370
2023,BMW,iX M60 (21in Wheels),,EV,435,125,Electricity,288,,,,12,,0,45326
2023,BMW,iX M60 (22in Wheels),,EV,429,118,Electricity,274,,,,12,,0,45327
2024,BMW,iX xDrive50 (20 inch wheels),,,,111,,,,,,,,,
2022,BMW,iX xDrive50 (20in Wheels),,EV,389,126,Electricity,324,,,,12,,0,45135
2024,BMW,iX xDrive50 (21 inch wheels),,,,111,,,,,,,,,
2022,BMW,iX xDrive50 (21in Wheels),,EV,406,124,Electricity,305,,,,12,,0,45136
2024,BMW,iX xDrive50 (22 inch wheels),,,,111,,,,,,,,,
2022,BMW,iX xDrive50 (22in Wheels),,EV,392,124,Electricity,315,,,,12,,0,45137
2020,BMW,X3 xDrive30e,,Plug-in Hybrid,560,10,Premium Gasoline,0,Electricity,18,,3,,0,42524
2021,BMW,X3 xDrive30e,,Plug-in Hybrid,560,10,Premium Gasoline,0,Electricity,18,,3,,0,43740
2016,BMW,X5 xDrive40e,,Plug-in Hybrid,590,8,Premium Gasoline,0,Electricity,14,,3,,0,37068
2017,BMW,X5 xDrive40e,,Plug-in Hybrid,590,8,Premium Gasoline,0,Electricity,14,,3,,0,38169
2018,BMW,X5 xDrive40e,,Plug-in Hybrid,590,8,Premium Gasoline,0,Electricity,14,,3,,0,39526
2021,BMW,X5 xDrive45e,,Plug-in Hybrid,630,20,Premium Gasoline,0,Electricity,31,,5,,0,42807
2022,BMW,X5 xDrive45e,,Plug-in Hybrid,630,20,Premium Gasoline,0,Electricity,31,,5,,0,45119
2012,BYD,e6,,EV,540,66,Electricity,122,,,,6,,0,33383
2014,BYD,e6,,EV,540,69,Electricity,127,,,,6,,0,34859
2013,BYD,e6,,EV,540,69,Electricity,127,,,,6,,0,34860
2016,BYD,e6,,EV,470,88,Electricity,187,,,,5,,0,37800
2017,BYD,e6,,EV,470,88,Electricity,187,,,,5,,0,38591
2018,BYD,e6,,EV,466,87,Electricity,187,,,,5,,0,39880
2020,BYD,e6,,EV,466,87,Electricity,187,,,,5,,0,42088
2017,Cadillac,CT6 Plug-In,,Plug-in Hybrid,540,17,Premium Gasoline,0,Electricity,31,,4.5,,0,38650
2018,Cadillac,CT6 Plug-In,,Plug-in Hybrid,540,17,Premium Gasoline,0,Electricity,31,,4.5,,0,39767
2014,Cadillac,ELR,,Plug-in Hybrid,410,15,Premium Gasoline,0,Electricity,37,,5,,0,34770
2015,Cadillac,ELR,,Plug-in Hybrid,410,15,Premium Gasoline,0,Electricity,37,,5,,0,35317
2016,Cadillac,ELR,,Plug-in Hybrid,390,16,Premium Gasoline,0,Electricity,40,,5,,0,36862
2016,Cadillac,ELR Sport,,Plug-in Hybrid,430,15,Premium Gasoline,0,Electricity,36,,5,,0,37131
2024,Chevrolet,Blazer EV AWD,,,,99,,,,,,,,,
2022,Chevrolet,Bolt EUV,,EV,294,73,Electricity,247,,,,7.5,,0,43954
2017,Chevrolet,Bolt EV,,EV,283,67,Electricity,238,,,,9.3,,0,38187
2018,Chevrolet,Bolt EV,,EV,283,67,Electricity,238,,,,9.3,,0,39786
2019,Chevrolet,Bolt EV,,EV,283,67,Electricity,238,,,,9.3,,0,40520
2020,Chevrolet,Bolt EV,,EV,286,74,Electricity,259,,,,10,,0,42191
2021,Chevrolet,Bolt EV,,EV,286,74,Electricity,259,,,,10,,0,43663
2022,Chevrolet,Bolt EV,,EV,281,73,Electricity,259,,,,7.5,,0,43955
1998,Chevrolet,S10 Electric,,EV,620,20,Electricity,33,,,,0,,0,30976
1998,Chevrolet,S10 Electric,,EV,1210,87,Electricity,72,,,,0,,0,30977
2024,Chevrolet,Silverado EV,,,,188,,,,,,,,,
2014,Chevrolet,Spark EV,,EV,280,23,Electricity,82,,,,7,,0,33640
2015,Chevrolet,Spark EV,,EV,283,23,Electricity,82,,,,7,,0,35120
2016,Chevrolet,Spark EV,,EV,283,23,Electricity,82,,,,7,,0,36996
2011,Chevrolet,Volt,,Plug-in Hybrid,360,13,Premium Gasoline,0,Electricity,35,,4,,0,30980
2012,Chevrolet,Volt,,Plug-in Hybrid,360,13,Premium Gasoline,0,Electricity,35,,4,,0,31618
2013,Chevrolet,Volt,,Plug-in Hybrid,350,13,Premium Gasoline,0,Electricity,38,,4,,0,32655
2014,Chevrolet,Volt,,Plug-in Hybrid,350,13,Premium Gasoline,0,Electricity,38,,4,,0,33900
2015,Chevrolet,Volt,,Plug-in Hybrid,350,13,Premium Gasoline,0,Electricity,38,,4,,0,35246
2016,Chevrolet,Volt,,Plug-in Hybrid,310,16,Regular Gasoline,0,Electricity,53,,4.5,,0,36863
2017,Chevrolet,Volt,,Plug-in Hybrid,310,16,Regular Gasoline,0,Electricity,53,,4.5,,0,37309
2018,Chevrolet,Volt,,Plug-in Hybrid,310,16,Regular Gasoline,0,Electricity,53,,4.5,,0,39190
2019,Chevrolet,Volt,,Plug-in Hybrid,310,16,Regular Gasoline,0,Electricity,53,,4.5,,2.3,40924
2015,Chevrolet,VTRUX LS,VTRUX LS,EV,400,24,Electricity,60,,,Standard Charger,3.2,,,2
2017,Chrysler,Pacifica Hybrid,,Plug-in Hybrid,400,13,Regular Gasoline,0,Electricity,33,,2,,0,38491
2018,Chrysler,Pacifica Hybrid,,Plug-in Hybrid,400,13,Regular Gasoline,0,Electricity,33,,2,,0,39483
2019,Chrysler,Pacifica Hybrid,,Plug-in Hybrid,410,13,Regular Gasoline,0,Electricity,32,,2,,0,40830
2020,Chrysler,Pacifica Hybrid,,Plug-in Hybrid,410,13,Regular Gasoline,0,Electricity,32,,2,,0,41943
2021,Chrysler,Pacifica Hybrid,,Plug-in Hybrid,410,13,Regular Gasoline,0,Electricity,32,,2,,0,43497
2022,Chrysler,Pacifica Hybrid,,Plug-in Hybrid,410,13,Regular Gasoline,0,Electricity,32,,2,,0,44930
2024,Chrysler,Pacifica Hybrid,,,,16,,,,,,,,,
2012,CODA Automotive,CODA,,EV,460,40,Electricity,88,,,,6,,0,32277
2013,CODA Automotive,CODA,,EV,460,40,Electricity,88,,,,6,,0,33337
1999,Dodge,Caravan/Grand Caravan 2WD,,EV,960,67,Electricity,70,,,,0,,0,30973
2024,Dodge,Hornet PHEV AWD,,,,15,,,,,,,,,
2022,Ferrari,296 GTB,,Plug-in Hybrid,720,6,Premium Gasoline,0,Electricity,8,,2.5,,0,45398
2022,Ferrari,SF90 Spider,,Plug-in Hybrid,770,6,Premium Gasoline,0,Electricity,8,,2.5,,0,45179
2022,Ferrari,SF90 Stradale,,Plug-in Hybrid,660,6,Premium Gasoline,0,Electricity,9,,2.5,,0,44983
2021,Ferrari,SF90 Stradale Coupe,,Plug-in Hybrid,660,6,Premium Gasoline,0,Electricity,9,,2.5,,0,43296
2013,Fiat,500e,,EV,290,25,Electricity,87,,,,4,,0,33396
2014,Fiat,500e,,EV,290,25,Electricity,87,,,,4,,0,34392
2015,Fiat,500e,,EV,291,25,Electricity,87,,,,4,,0,35206
2016,Fiat,500e,,EV,299,25,Electricity,84,,,,4,,0,37156
2017,Fiat,500e,,EV,299,25,Electricity,84,,,,4,,0,37798
2018,Fiat,500e,,EV,299,25,Electricity,84,,,,4,,0,39959
2019,Fiat,500e,,EV,299,25,Electricity,84,,,,4,,0,41143
2012,Fisker,Karma,,Plug-in Hybrid,621,20,Premium Gasoline,0,Electricity,33,,6,,0,32516
2013,Ford,C-MAX Energi Plug-in Hybrid,,Plug-in Hybrid,370,7,Regular Gasoline,0,Electricity,20,,2.5,,0,33336
2014,Ford,C-MAX Energi Plug-in Hybrid,,Plug-in Hybrid,370,7,Regular Gasoline,0,Electricity,20,,2.5,,0,34662
2015,Ford,C-MAX Energi Plug-in Hybrid,,Plug-in Hybrid,370,7,Regular Gasoline,0,Electricity,20,,2.5,,0,35765
2016,Ford,C-MAX Energi Plug-in Hybrid,,Plug-in Hybrid,370,7,Regular Gasoline,0,Electricity,20,,2.5,,0,36932
2017,Ford,C-MAX Energi Plug-In Hybrid,,Plug-in Hybrid,350,7,Regular Gasoline,0,Electricity,20,,2.5,,0,38506
2020,Ford,Escape FWD PHEV,,Plug-in Hybrid,330,12,Regular Gasoline,0,Electricity,37,,3.3,,0,42743
2021,Ford,Escape FWD PHEV,,Plug-in Hybrid,320,12,Regular Gasoline,0,Electricity,37,,3.3,,0,43912
2022,Ford,Escape FWD PHEV,,Plug-in Hybrid,320,12,Regular Gasoline,0,Electricity,37,,3.3,,0,44931
2001,Ford,Explorer USPS Electric,,EV,870,33,Electricity,38,,,,0,,0,17330
2002,Ford,Explorer USPS Electric,,EV,870,33,Electricity,38,,,,0,,0,18291
2022,Ford,F-150 Lightning 4WD,,EV,493,114,Electricity,230,,,,11.9,,0,45318
2022,Ford,F-150 Lightning 4WD Extended Range,,EV,479,153,Electricity,320,,,,10.1,,0,45317
2022,Ford,F-150 Lightning Platinum 4WD,,EV,507,152,Electricity,300,,,,9.3,,0,45316
2012,Ford,Focus Electric,,EV,320,24,Electricity,76,,,,4,,0,32278
2013,Ford,Focus Electric,,EV,320,24,Electricity,76,,,,4,,0,33024
2014,Ford,Focus Electric,,EV,320,24,Electricity,76,,,,3.6,,0,34130
2015,Ford,Focus Electric,,EV,320,24,Electricity,76,,,,3.6,,0,35970
2016,Ford,Focus Electric,,EV,320,24,Electricity,76,,,,3.6,,0,36978
2017,Ford,Focus Electric,,EV,310,36,Electricity,115,,,,5.5,,0,38505
2018,Ford,Focus Electric,,EV,314,36,Electricity,115,,,,5.5,,0,39640
2013,Ford,Fusion Energi Plug-in Hybrid,,Plug-in Hybrid,370,7,Regular Gasoline,0,Electricity,20,,2.5,,0,33398
2014,Ford,Fusion Energi Plug-in Hybrid,,Plug-in Hybrid,370,7,Regular Gasoline,0,Electricity,20,,2.5,,0,34089
2015,Ford,Fusion Energi Plug-in Hybrid,,Plug-in Hybrid,370,7,Regular Gasoline,0,Electricity,20,,2.5,,0,35277
2016,Ford,Fusion Energi Plug-in Hybrid,,Plug-in Hybrid,370,7,Regular Gasoline,0,Electricity,20,,2.5,,0,36248
2017,Ford,Fusion Energi Plug-in Hybrid,,Plug-in Hybrid,350,8,Regular Gasoline,0,Electricity,22,,2.5,,0,37470
2018,Ford,Fusion Energi Plug-in Hybrid,,Plug-in Hybrid,350,7,Regular Gasoline,0,Electricity,21,,2.5,,0,39408
2019,Ford,Fusion Energi Plug-in Hybrid,,Plug-in Hybrid,330,9,Regular Gasoline,0,Electricity,26,,2.6,,0,40809
2020,Ford,Fusion Energi Plug-in Hybrid,,Plug-in Hybrid,330,9,Regular Gasoline,0,Electricity,26,,2.6,,0,41899
2020,Ford,Fusion Special Service PHEV,,Plug-in Hybrid,330,9,Regular Gasoline,0,Electricity,26,,2.6,,0,41900
2019,Ford,Fusion Special Service Vehicle PHEV,,Plug-in Hybrid,330,9,Regular Gasoline,0,Electricity,26,,2.6,,0,41226
2021,Ford,Mustang Mach-E AWD,,EV,363,77,Electricity,211,,,,8.5,,0,43602
2022,Ford,Mustang Mach-E AWD,,EV,363,81,Electricity,224,,,,8,,0,45138
2024,Ford,Mustang Mach-E AWD,,,,91.4,,,,,,,,,
2021,Ford,Mustang Mach-E AWD Extended,,EV,372,101,Electricity,270,,,,10.7,,0,43603
2022,Ford,Mustang Mach-E AWD Extended,,EV,370,103,Electricity,277,,,,10.7,,0,45139
2022,Ford,MUSTANG MACH-E CAL RT 1 ER AWD,,EV,343,107,Electricity,312,,,,11.4,,0,45140
2022,Ford,MUSTANG MACH-E CAL RT 1 ER RWD,,EV,333,105,Electricity,314,,,,10.1,,0,45141
2021,Ford,Mustang Mach-E GT,,EV,401,108,Electricity,270,,,,10.3,,0,44797
2022,Ford,Mustang Mach-E GT,,EV,401,109,Electricity,270,,,,10.3,,0,45142
2021,Ford,Mustang Mach-E GT Performance,,EV,411,107,Electricity,260,,,,10.1,,0,44798
2022,Ford,Mustang Mach-E GT Performance,,EV,411,107,Electricity,260,,,,10.1,,0,45143
2021,Ford,Mustang Mach-E RWD,,EV,338,78,Electricity,230,,,,8.8,,0,43604
2022,Ford,Mustang Mach-E RWD,,EV,326,81,Electricity,247,,,,8.1,,0,45144
2024,Ford,Mustang Mach-E RWD,,,,116.4,,,,,,,,,
2021,Ford,Mustang Mach-E RWD California Route 1,,EV,333,102,Electricity,305,,,,11.4,,0,43683
2021,Ford,Mustang Mach-E RWD Extended,,EV,346,104,Electricity,300,,,,10.9,,0,43605
2022,Ford,Mustang Mach-E RWD Extended,,EV,346,105,Electricity,303,,,,10.9,,0,45145
2001,Ford,Ranger Pickup 2WD,,EV,580,29,Electricity,50,,,,0,,0,30965
2000,Ford,Ranger Pickup 2WD,,EV,580,29,Electricity,50,,,,0,,0,30966
2000,Ford,Ranger Pickup 2WD,,EV,600,39,Electricity,65,,,,0,,0,30967
1999,Ford,Ranger Pickup 2WD,,EV,580,29,Electricity,50,,,,0,,0,30971
1999,Ford,Ranger Pickup 2WD,,EV,720,40,Electricity,55,,,,0,,0,30972
2001,Ford,Th!nk,,EV,520,15,Electricity,29,,,,0,,0,17329
2024,Genesis,Electrified G80,,,,87,,,,,,,,,
2023,Genesis,GV60 ADVANCE,,EV,354,88,Electricity,248,,,,7.2,,0,45328
2024,Genesis,GV60 Advanced (19 inch Wheels),,,,77,,,,,,,,,
2023,Genesis,GV60 PERFORMANCE,,EV,368,87,Electricity,235,,,,7.2,,0,45329
1999,GMC,EV1,,EV,400,22,Electricity,55,,,,0,,0,30968
1999,GMC,EV1,,EV,910,96,Electricity,105,,,,0,,0,30969
2014,Honda,Accord Plug-in Hybrid,,Plug-in Hybrid,290,4,Regular Gasoline,0,Electricity,13,,0.67,,0,33557
2017,Honda,Clarity EV,,EV,300,27,Electricity,89,,,,4,,0,39191
2018,Honda,Clarity EV,,EV,295,26,Electricity,89,,,,4,,0,40044
2019,Honda,Clarity EV,,EV,295,26,Electricity,89,,,,4,,0,41185
2018,Honda,Clarity Plug-in Hybrid,,Plug-in Hybrid,310,15,Regular Gasoline,0,Electricity,48,,2.2,,0,39782
2019,Honda,Clarity Plug-in Hybrid,,Plug-in Hybrid,310,15,Regular Gasoline,0,Electricity,48,,2.2,,0,41183
2020,Honda,Clarity Plug-in Hybrid,,Plug-in Hybrid,310,15,Regular Gasoline,0,Electricity,48,,2.2,,0,42480
2021,Honda,Clarity Plug-in Hybrid,Clarity PHEV,Plug-in Hybrid,310,15,Regular Gasoline,0,Electricity,48,,2.2,,0,42983
1999,Honda,EV Plus,,EV,710,58,Electricity,81,,,,0,,0,30970
1998,Honda,EV Plus,,EV,710,58,Electricity,81,,,,0,,0,30975
2013,Honda,Fit EV,,EV,290,24,Electricity,82,,,,4,,0,33265
2014,Honda,Fit EV,,EV,290,24,Electricity,82,,,,4,,0,33905
2024,Honda,Prologue AWD Elite,,,,100.1,,,,,,,,,
2024,Honda,Prologue AWD Touring,,,,100.1,,,,,,,,,
2024,Honda,Prologue FWD,,,,100.1,,,,,,,,,
2022,Hyundai,Ioniq 5 AWD (Long Range),,EV,343,88,Electricity,256,,,,8.5,,0,44922
2024,Hyundai,Ioniq 5 Long range AWD,,,,77,,,,,,,,,
2024,Hyundai,Ioniq 5 Long range RWD,,,,77,,,,,,,,,
2022,Hyundai,Ioniq 5 RWD (Long Range),,EV,300,91,Electricity,303,,,,8.5,,0,44923
2022,Hyundai,Ioniq 5 RWD (Standard Range),,EV,310,68,Electricity,220,,,,6.3,,0,44924
2024,Hyundai,Ioniq 5 Standard range RWD,,,,58,,,,,,,,,
2024,Hyundai,Ioniq 6 Long range RWD (18 inch Wheels),,,,77,,,,,,,,,
2024,Hyundai,Ioniq 6 Long range RWD (20 inch Wheels),,,,77,,,,,,,,,
2024,Hyundai,Ioniq 6 Standard Range RWD,,,,53,,,,,,,,,
2017,Hyundai,Ioniq Electric,,EV,250,31,Electricity,124,,,,4,,0,38431
2018,Hyundai,Ioniq Electric,,EV,250,31,Electricity,124,,,,4,,0,39641
2019,Hyundai,Ioniq Electric,,EV,250,31,Electricity,124,,,,4,,0,40384
2020,Hyundai,Ioniq Electric,,EV,253,43,Electricity,170,,,,5.8,,0,42273
2021,Hyundai,Ioniq Electric,,EV,253,43,Electricity,170,,,,5.8,,0,43879
2018,Hyundai,Ioniq Plug-in Hybrid,,Plug-in Hybrid,280,8,Regular Gasoline,0,Electricity,29,,2.3,,0,39768
2019,Hyundai,Ioniq Plug-in Hybrid,,Plug-in Hybrid,280,8,Regular Gasoline,0,Electricity,29,,2.3,,0,40810
