Year,Make,Model,Display Name,Type,Wh Per Mile,Battery (kWh),Fuel Type 1,Fuel 1 Range (miles),Fuel Type 2,Fuel 2 Range (miles),Charger A Desc,"Hours to Charge (240V, Charger A)",Charger B Desc,"Hours to Charge (240V, Charger B)",Doe Id
2020,Porsche,Cayenne e-Hybrid,,Plug-in Hybrid,710,10,Premium Gasoline,0,Electricity,14,,3,,0,42580
2021,Porsche,Cayenne e-Hybrid,,Plug-in Hybrid,720,12,Premium Gasoline,0,Electricity,17,,3,,0,43775
2020,Porsche,Cayenne e-Hybrid Coupe,,Plug-in Hybrid,710,10,Premium Gasoline,0,Electricity,14,,3,,0,42581
2021,Porsche,Cayenne e-Hybrid Coupe,,Plug-in Hybrid,720,12,Premium Gasoline,0,Electricity,17,,3,,0,43776
2015,Porsche,Cayenne S e-Hybrid,,Plug-in Hybrid,690,10,Premium Gasoline,0,Electricity,14,,3,,0,35896
2016,Porsche,Cayenne S e-Hybrid,,Plug-in Hybrid,690,10,Premium Gasoline,0,Electricity,14,,3,,0,36709
2017,Porsche,Cayenne S e-Hybrid,,Plug-in Hybrid,710,10,Premium Gasoline,0,Electricity,14,,3,,0,37799
2018,Porsche,Cayenne S e-Hybrid,,Plug-in Hybrid,700,10,Premium Gasoline,0,Electricity,14,,3,,0,39928
2020,Porsche,Cayenne Turbo S e-Hybrid,,Plug-in Hybrid,760,9,Premium Gasoline,0,Electricity,12,,3,,0,42805
2021,Porsche,Cayenne Turbo S e-Hybrid,,Plug-in Hybrid,820,12,Premium Gasoline,0,Electricity,15,,3,,0,43777
2020,Porsche,Cayenne Turbo S e-Hybrid Coupe,,Plug-in Hybrid,760,9,Premium Gasoline,0,Electricity,12,,3,,0,42806
2021,Porsche,Cayenne Turbo S e-Hybrid Coupe,,Plug-in Hybrid,820,12,Premium Gasoline,0,Electricity,15,,3,,0,43778
2022,Porsche,Cayenne Turbo S/Coupe E-Hybrid,,Plug-in Hybrid,820,12,Premium Gasoline,0,Electricity,15,,3,,0,44443
2022,Porsche,Cayenne/Coupe E-Hybrid,,Plug-in Hybrid,720,12,Premium Gasoline,0,Electricity,17,,3,,0,44442
2018,Porsche,Panamera 4 e-Hybrid,,Plug-in Hybrid,590,9,Premium Gasoline,0,Electricity,16,,3,,0,40225
2019,Porsche,Panamera 4 e-Hybrid,,Plug-in Hybrid,650,9,Premium Gasoline,0,Electricity,14,,3,,0,41291
2020,Porsche,Panamera 4 e-Hybrid,,Plug-in Hybrid,650,9,Premium Gasoline,0,Electricity,14,,3,,0,42355
2021,Porsche,Panamera 4 e-Hybrid,,Plug-in Hybrid,640,12,Premium Gasoline,0,Electricity,19,,3,,0,43913
2018,Porsche,Panamera 4 e-Hybrid Executive,,Plug-in Hybrid,590,9,Premium Gasoline,0,Electricity,16,,3,,0,40226
2019,Porsche,Panamera 4 e-Hybrid Executive,,Plug-in Hybrid,650,9,Premium Gasoline,0,Electricity,14,,3,,0,41292
2020,Porsche,Panamera 4 e-Hybrid Executive,,Plug-in Hybrid,650,9,Premium Gasoline,0,Electricity,14,,3,,0,42356
2021,Porsche,Panamera 4 e-Hybrid Executive,,Plug-in Hybrid,640,12,Premium Gasoline,0,Electricity,19,,3,,0,43914
2018,Porsche,Panamera 4 e-Hybrid ST,,Plug-in Hybrid,590,9,Premium Gasoline,0,Electricity,16,,3,,0,39960
2019,Porsche,Panamera 4 e-Hybrid ST,,Plug-in Hybrid,650,9,Premium Gasoline,0,Electricity,14,,3,,0,41293
2020,Porsche,Panamera 4 e-Hybrid ST,,Plug-in Hybrid,650,9,Premium Gasoline,0,Electricity,14,,3,,0,42357
2021,Porsche,Panamera 4 e-Hybrid ST,,Plug-in Hybrid,640,12,Premium Gasoline,0,Electricity,19,,3,,0,43915
2022,Porsche,Panamera 4 E-Hybrid/Exec/ST,,Plug-in Hybrid,640,12,Premium Gasoline,0,Electricity,19,,3,,0,44608
2021,Porsche,Panamera 4S e-Hybrid,,Plug-in Hybrid,660,13,Premium Gasoline,0,Electricity,19,,3,,0,43916
2021,Porsche,Panamera 4S e-Hybrid Executive,,Plug-in Hybrid,660,13,Premium Gasoline,0,Electricity,19,,3,,0,43917
2021,Porsche,Panamera 4S e-Hybrid ST,,Plug-in Hybrid,660,13,Premium Gasoline,0,Electricity,19,,3,,0,43918
2022,Porsche,Panamera 4S E-Hybrid/Exec/ST,,Plug-in Hybrid,660,13,Premium Gasoline,0,Electricity,19,,3,,0,44609
2014,Porsche,Panamera S E-Hybrid,,Plug-in Hybrid,520,8,Premium Gasoline,0,Electricity,16,,3,,0,34789
2015,Porsche,Panamera S E-Hybrid,,Plug-in Hybrid,520,8,Premium Gasoline,0,Electricity,16,,3,,0,35278
2016,Porsche,Panamera S E-Hybrid,,Plug-in Hybrid,510,8,Premium Gasoline,0,Electricity,16,,3,,0,36710
2018,Porsche,Panamera Turbo S e-Hybrid,,Plug-in Hybrid,670,9,Premium Gasoline,0,Electricity,14,,3,,0,40055
2019,Porsche,Panamera Turbo S e-Hybrid,,Plug-in Hybrid,660,9,Premium Gasoline,0,Electricity,14,,3,,0,41294
2020,Porsche,Panamera Turbo S e-Hybrid,,Plug-in Hybrid,660,9,Premium Gasoline,0,Electricity,14,,3,,0,42111
2021,Porsche,Panamera Turbo S e-Hybrid,,Plug-in Hybrid,700,12,Premium Gasoline,0,Electricity,17,,3,,0,43919
2018,Porsche,Panamera Turbo S e-Hybrid Executive,,Plug-in Hybrid,670,9,Premium Gasoline,0,Electricity,14,,3,,0,40056
2019,Porsche,Panamera Turbo S e-Hybrid Executive,,Plug-in Hybrid,660,9,Premium Gasoline,0,Electricity,14,,3,,0,41295
2020,Porsche,Panamera Turbo S e-Hybrid Executive,,Plug-in Hybrid,660,9,Premium Gasoline,0,Electricity,14,,3,,0,42112
2021,Porsche,Panamera Turbo S e-Hybrid Executive,,Plug-in Hybrid,700,12,Premium Gasoline,0,Electricity,17,,3,,0,43920
2018,Porsche,Panamera Turbo S e-Hybrid ST,,Plug-in Hybrid,670,9,Premium Gasoline,0,Electricity,14,,3,,0,40057
2019,Porsche,Panamera Turbo S e-Hybrid ST,,Plug-in Hybrid,660,9,Premium Gasoline,0,Electricity,14,,3,,0,41296
2020,Porsche,Panamera Turbo S e-Hybrid ST,,Plug-in Hybrid,660,9,Premium Gasoline,0,Electricity,14,,3,,0,42113
2021,Porsche,Panamera Turbo S e-Hybrid ST,,Plug-in Hybrid,700,12,Premium Gasoline,0,Electricity,17,,3,,0,43921
2022,Porsche,Panamera TurboS E-Hybrid/Exec/ST,,Plug-in Hybrid,700,12,Premium Gasoline,0,Electricity,17,,3,,0,44830
2021,Porsche,Taycan 4 Cross Turismo,,EV,440,95,Electricity,215,,,,10.5,,0,44721
2022,Porsche,Taycan 4 Cross Turismo,,EV,440,95,Electricity,215,,,,10.5,,0,44793
2021,Porsche,Taycan 4S Cross Turismo,,EV,450,97,Electricity,215,,,,10.5,,0,44722
2022,Porsche,Taycan 4S Cross Turismo,,EV,450,97,Electricity,215,,,,10.5,,0,44794
2021,Porsche,Taycan 4S Perf Battery,,EV,424,84,Electricity,199,,,,9.5,,0,43684
2022,Porsche,Taycan 4S Perf Battery,,EV,424,84,Electricity,199,,,,9.5,,0,44787
2020,Porsche,Taycan 4S Perf Battery Plus,,EV,488,99,Electricity,203,,,,10.5,,0,42590
2021,Porsche,Taycan 4S Perf Battery Plus,,EV,434,99,Electricity,227,,,,10.5,,0,43685
2022,Porsche,Taycan 4S Perf Battery Plus,,EV,434,99,Electricity,227,,,,10.5,,0,44788
2021,Porsche,Taycan Perf Battery,,EV,410,82,Electricity,200,,,,9.5,,0,43802
2022,Porsche,Taycan Perf Battery,,EV,420,84,Electricity,200,,,,9.5,,0,44789
2021,Porsche,Taycan Perf Battery Plus,,EV,449,101,Electricity,225,,,,10.5,,0,43803
2022,Porsche,Taycan Perf Battery Plus,,EV,449,101,Electricity,225,,,,10.5,,0,44790
2020,Porsche,Taycan Turbo,,EV,486,98,Electricity,201,,,,10,,0,42383
2021,Porsche,Taycan Turbo,,EV,450,95,Electricity,212,,,,10.5,,0,43910
2022,Porsche,Taycan Turbo,,EV,460,98,Electricity,212,,,,10.5,,0,44791
2021,Porsche,Taycan Turbo Cross Turismo,,EV,468,96,Electricity,204,,,,10.5,,0,44724
2022,Porsche,Taycan Turbo Cross Turismo,,EV,468,96,Electricity,204,,,,10.5,,0,44795
2020,Porsche,Taycan Turbo S,,EV,499,96,Electricity,192,,,,10.5,,0,42427
2021,Porsche,Taycan Turbo S,,EV,480,97,Electricity,201,,,,10.5,,0,43911
2022,Porsche,Taycan Turbo S,,EV,480,97,Electricity,201,,,,10.5,,0,44792
2021,Porsche,Taycan Turbo S Cross Turismo,,EV,460,93,Electricity,202,,,,10.5,,0,44723
2022,Porsche,Taycan Turbo S Cross Turismo,,EV,460,93,Electricity,202,,,,10.5,,0,44796
2019,Prototype,1,,EV,300,114,Electricity,380,,,,5.7,,,99999998
2020,Prototype,2,,EV,300,114,Electricity,380,,,,5.7,,,99999999
2022,Rivian,R1S,,EV,486,154,Electricity,316,,,,13,,0,44461
2024,Rivian,R1S All-Terrain Quad Large (20 inch),,,,144,,,,,,,,,
2024,Rivian,R1S Performance Dual Large (22in),,,,144,,,,,,,,,
2024,Rivian,R1S Quad Large (22in),,,,144,,,,,,,,,
2022,Rivian,R1T,,EV,480,151,Electricity,314,,,,13,,0,44462
2024,Rivian,R1T All-Terrain Quad Large (20in),,,,144,,,,,,,,,
2024,Rivian,R1T Quad Large (22in),,,,144,,,,,,,,,
2013,Scion,iQ EV,,EV,280,11,Electricity,38,,,,4,,0,33307
2019,smart,EQ fortwo (convertible),,EV,330,19,Electricity,57,,,,3,,0,41187
2019,smart,EQ fortwo (coupe),,EV,310,18,Electricity,58,,,,3,,0,41186
2011,smart,fortwo electric drive cabriolet,,EV,390,25,Electricity,63,,,,8,,0,31064
2013,smart,fortwo electric drive convertible,,EV,320,22,Electricity,68,,,,6,,0,33305
2014,smart,fortwo electric drive convertible,,EV,320,22,Electricity,68,,,,6,,0,34393
2015,smart,fortwo electric drive convertible,,EV,315,21,Electricity,68,,,,6,,0,35858
